date;pib
31/03/95;312408
30/06/95;313535
30/09/95;316615
31/12/95;317507
31/03/96;320370
30/06/96;321390
30/09/96;323585
31/12/96;326666
31/03/97;332963
30/06/97;335906
30/09/97;337554
31/12/97;341055
31/03/98;343646
30/06/98;346762
30/09/98;349347
31/12/98;352746
31/03/99;354739
30/06/99;354959
30/09/99;361294
31/12/99;366261
31/03/00;369352
30/06/00;371610
30/09/00;372653
31/12/00;373273
31/03/01;378202
30/06/01;381178
30/09/01;384018
31/12/01;385729
31/03/02;387561
30/06/02;390117
30/09/02;393074
31/12/02;396599
31/03/03;399206
30/06/03;402985
30/09/03;407106
31/12/03;410395
31/03/04;412641
30/06/04;414222
30/09/04;414905
31/12/04;415951
31/03/05;419894
30/06/05;424551
30/09/05;429518
31/12/05;435953
31/03/06;437114
30/06/06;438088
30/09/06;438369
31/12/06;439915
31/03/07;444292
30/06/07;447498
30/09/07;451288
31/12/07;455043
31/03/08;456663
30/06/08;453283
30/09/08;445818
31/12/08;436137
31/03/09;428886
30/06/09;428073
30/09/09;428682
31/12/09;430166
31/03/10;432106
30/06/10;435817
30/09/10;438337
31/12/10;438908
31/03/11;442198
30/06/11;442851
30/09/11;444043
31/12/11;444780
31/03/12;447661
30/06/12;447420
30/09/12;452748
31/12/12;451712
31/03/13;454633
30/06/13;457126
30/09/13;461224
31/12/13;463382
31/03/14;467266
30/06/14;471155
30/09/14;474457
31/12/14;477615
31/03/15;479734
30/06/15;482464
30/09/15;484552
31/12/15;488153
31/03/16;489736
30/06/16;490502
30/09/16;492816
31/12/16;496470
31/03/17;498582
30/06/17;499885
