Date,Average_Price
1995-01-01,74435.76052000001
1995-02-01,72777.93708999999
1995-03-01,73896.84204
1995-04-01,74455.28754
1995-05-01,75432.02786
1995-06-01,75606.24501
1995-07-01,75984.24079
1995-08-01,75529.34487999999
1995-09-01,74940.80872
1995-10-01,74302.0803
1995-11-01,74117.79087000001
1995-12-01,75177.55687999999
1996-01-01,75341.92348
1996-02-01,76086.63663
1996-03-01,75690.64654
1996-04-01,76767.25318
1996-05-01,77214.87861
1996-06-01,78138.84404
1996-07-01,78798.97476
1996-08-01,79058.3034
1996-09-01,79752.07101
1996-10-01,79504.42501
1996-11-01,80223.97108999999
1996-12-01,81416.76441
1997-01-01,83065.73641
1997-02-01,83579.43297000001
1997-03-01,84575.76782000001
1997-04-01,86087.556
1997-05-01,88543.68327000001
1997-06-01,89231.14462
1997-07-01,92128.63196
1997-08-01,92120.05411
1997-09-01,94180.40434
1997-10-01,93917.86008
1997-11-01,95033.86392999999
1997-12-01,96862.90572000001
1998-01-01,97913.84288
1998-02-01,96944.16268
1998-03-01,98933.93879
1998-04-01,101286.8198
1998-05-01,101077.4683
1998-06-01,102890.7686
1998-07-01,104367.7808
1998-08-01,104077.5326
1998-09-01,104611.3516
1998-10-01,104179.2498
1998-11-01,104259.4976
1998-12-01,104784.9257
1999-01-01,105695.3248
1999-02-01,105273.2534
1999-03-01,107397.634
1999-04-01,109621.2203
1999-05-01,111215.7079
1999-06-01,113318.7026
1999-07-01,117032.6045
1999-08-01,119357.8562
1999-09-01,122610.8454
1999-10-01,123001.7034
1999-11-01,125792.4949
1999-12-01,127917.7716
2000-01-01,130410.6112
2000-02-01,132705.3806
2000-03-01,134286.0932
2000-04-01,140670.2726
2000-05-01,140861.8441
2000-06-01,143541.8844
2000-07-01,146228.2058
2000-08-01,147284.2636
2000-09-01,147316.4398
2000-10-01,145625.9532
2000-11-01,147666.3251
2000-12-01,147483.0454
2001-01-01,149543.2598
2001-02-01,149776.33800000002
2001-03-01,150941.3523
2001-04-01,152865.4801
2001-05-01,157155.9708
2001-06-01,158760.1771
2001-07-01,161122.2779
2001-08-01,164628.3601
2001-09-01,164820.3474
2001-10-01,166189.3521
2001-11-01,167213.8399
2001-12-01,167692.7516
2002-01-01,169840.6632
2002-02-01,170501.5657
2002-03-01,172748.9568
2002-04-01,178217.5213
2002-05-01,182805.2607
2002-06-01,186038.3234
2002-07-01,191162.1883
2002-08-01,195333.1199
2002-09-01,197044.8486
2002-10-01,199092.3697
2002-11-01,202526.7828
2002-12-01,203437.4467
2003-01-01,207162.34
2003-02-01,206464.2219
2003-03-01,205573.1124
2003-04-01,207953.3595
2003-05-01,210582.5633
2003-06-01,208940.7784
2003-07-01,213806.4541
2003-08-01,212692.167
2003-09-01,212900.6703
2003-10-01,214607.8143
2003-11-01,215556.1606
2003-12-01,216971.4174
2004-01-01,218855.4575
2004-02-01,219803.6063
2004-03-01,221323.7542
2004-04-01,225862.7176
2004-05-01,227330.3145
2004-06-01,230156.3201
2004-07-01,233876.8558
2004-08-01,234835.526
2004-09-01,234133.6259
2004-10-01,232287.072
2004-11-01,234718.2209
2004-12-01,230184.9674
2005-01-01,232422.1606
2005-02-01,231321.1009
2005-03-01,231263.1991
2005-04-01,235367.2452
2005-05-01,235685.1628
2005-06-01,235898.8337
2005-07-01,237871.6126
2005-08-01,237971.1048
2005-09-01,236915.5232
2005-10-01,234297.8656
2005-11-01,236560.7683
2005-12-01,238376.6528
2006-01-01,239845.5309
2006-02-01,239114.9725
2006-03-01,241380.3315
2006-04-01,245474.4153
2006-05-01,247591.1474
2006-06-01,251417.4307
2006-07-01,253882.7406
2006-08-01,256703.7586
2006-09-01,257541.4652
2006-10-01,259114.5995
2006-11-01,258813.5529
2006-12-01,264494.1856
2007-01-01,267658.3296
